DataFrame,Model,RMSE,R2
DD_target30,Srbf_C1_e01_gscale,0.099063,-4.339007
DD_target30,Srbf_C1_e01_g001,0.074251,-1.364474
DD_target30,Srbf_C1_e01_g01,0.083893,-2.139607
DD_target30,Srbf_C1_e05_gscale,0.074089,-1.266125
DD_target30,Srbf_C1_e05_g001,0.067615,-0.720474
DD_target30,Srbf_C1_e05_g01,0.075013,-1.185746
DD_target30,Srbf_C10_e01_gscale,0.126864,-9.550206
DD_target30,Srbf_C10_e01_g001,0.081342,-1.857929
DD_target30,Srbf_C10_e01_g01,0.153199,-14.922745
DD_target30,Srbf_C10_e05_gscale,0.077726,-1.447984
DD_target30,Srbf_C10_e05_g001,0.073483,-1.15881
DD_target30,Srbf_C10_e05_g01,0.114011,-6.331545
DD_target30,Srbf_C100_e01_gscale,0.140814,-11.011118
DD_target30,Srbf_C100_e01_g001,0.097501,-3.517682
DD_target30,Srbf_C100_e01_g01,0.250004,-43.304069
DD_target30,Srbf_C100_e05_gscale,0.080463,-1.571414
DD_target30,Srbf_C100_e05_g001,0.083865,-1.816863
DD_target30,Srbf_C100_e05_g01,0.144225,-11.772657
DD_target30,Slin_C01,0.073629,-1.337126
DD_target30,Slin_C1,0.073683,-1.345669
DD_target30,Slin_C10,0.073626,-1.342857
DD_target30,Spoly2_C1_gscale,0.195774,-22.635524
DD_target30,Spoly2_C1_g001,0.074505,-1.388919
DD_target30,Spoly2_C10_gscale,0.338138,-96.461479
DD_target30,Spoly2_C10_g001,0.081963,-1.813128
DD_target30,Spoly3_C1_gscale,0.600997,-145.022914
DD_target30,Spoly3_C1_g001,0.077497,-1.520248
DD_target30,GBRT_d3_lr001,0.063011,-0.391659
DD_target30,GBRT_d3_lr005,0.074778,-1.198243
DD_target30,GBRT_d4_lr001,0.064255,-0.467485
DD_target30,GBRT_d4_lr005,0.074037,-1.13657
DD_target30,GBRT_d5_lr001,0.065506,-0.536449
DD_target30,GBRT_d5_lr005,0.073137,-1.035241
DD_target30,MLP_64_relu_lr0005,0.124075,-5.415623
DD_target30,MLP_64_relu_lr001,0.122304,-5.212697
DD_target30,MLP_64_relu_lr005,0.116958,-4.737359
DD_target30,MLP_64_relu_lr01,0.103369,-3.668719
DD_target60,Srbf_C1_e01_gscale,0.131376,-4.519576
DD_target60,Srbf_C1_e01_g001,0.116216,-2.358167
DD_target60,Srbf_C1_e01_g01,0.131503,-3.316851
DD_target60,Srbf_C1_e05_gscale,0.112313,-1.846995
DD_target60,Srbf_C1_e05_g001,0.119661,-2.621414
DD_target60,Srbf_C1_e05_g01,0.132811,-3.206115
DD_target60,Srbf_C10_e01_gscale,0.174406,-12.718664
DD_target60,Srbf_C10_e01_g001,0.137413,-4.094489
DD_target60,Srbf_C10_e01_g01,0.182856,-9.109516
DD_target60,Srbf_C10_e05_gscale,0.119976,-2.318829
DD_target60,Srbf_C10_e05_g001,0.14214,-4.811125
DD_target60,Srbf_C10_e05_g01,0.164725,-5.85142
DD_target60,Srbf_C100_e01_gscale,0.217274,-20.919153
DD_target60,Srbf_C100_e01_g001,0.156847,-5.011169
DD_target60,Srbf_C100_e01_g01,0.263114,-19.873224
DD_target60,Srbf_C100_e05_gscale,0.125188,-2.517923
DD_target60,Srbf_C100_e05_g001,0.163939,-6.2934
DD_target60,Srbf_C100_e05_g01,0.215009,-9.89819
DD_target60,Slin_C01,0.125935,-3.450181
DD_target60,Slin_C1,0.126253,-3.491722
DD_target60,Slin_C10,0.126236,-3.482718
DD_target60,Spoly2_C1_gscale,0.260725,-22.673402
DD_target60,Spoly2_C1_g001,0.116266,-2.396209
DD_target60,Spoly2_C10_gscale,0.31152,-33.521653
DD_target60,Spoly2_C10_g001,0.132364,-3.60298
DD_target60,Spoly3_C1_gscale,0.57659,-80.870985
DD_target60,Spoly3_C1_g001,0.120455,-2.718117
DD_target60,GBRT_d3_lr001,0.093927,-0.618978
DD_target60,GBRT_d3_lr005,0.106005,-1.250018
DD_target60,GBRT_d4_lr001,0.096196,-0.730113
DD_target60,GBRT_d4_lr005,0.105275,-1.233024
DD_target60,GBRT_d5_lr001,0.096752,-0.765637
DD_target60,GBRT_d5_lr005,0.104301,-1.149481
DD_target60,MLP_64_relu_lr0005,0.166267,-6.041983
DD_target60,MLP_64_relu_lr001,0.181617,-8.146725
DD_target60,MLP_64_relu_lr005,0.147936,-3.940416
DD_target60,MLP_64_relu_lr01,0.173568,-7.443492
DD_target90,Srbf_C1_e01_gscale,0.206217,-7.479559
DD_target90,Srbf_C1_e01_g001,0.172101,-3.086905
DD_target90,Srbf_C1_e01_g01,0.208069,-5.061374
DD_target90,Srbf_C1_e05_gscale,0.171285,-3.070848
DD_target90,Srbf_C1_e05_g001,0.18054,-3.687519
DD_target90,Srbf_C1_e05_g01,0.207731,-4.889357
DD_target90,Srbf_C10_e01_gscale,0.256918,-16.215723
DD_target90,Srbf_C10_e01_g001,0.199264,-4.906421
DD_target90,Srbf_C10_e01_g01,0.308241,-16.865183
DD_target90,Srbf_C10_e05_gscale,0.191275,-4.499877
DD_target90,Srbf_C10_e05_g001,0.2126,-6.315079
DD_target90,Srbf_C10_e05_g01,0.270583,-11.063017
DD_target90,Srbf_C100_e01_gscale,0.288216,-23.56973
DD_target90,Srbf_C100_e01_g001,0.253621,-9.116432
DD_target90,Srbf_C100_e01_g01,0.42608,-36.599849
DD_target90,Srbf_C100_e05_gscale,0.198258,-4.800681
DD_target90,Srbf_C100_e05_g001,0.268695,-10.149841
DD_target90,Srbf_C100_e05_g01,0.348666,-19.945124
DD_target90,Slin_C01,0.176548,-3.58398
DD_target90,Slin_C1,0.176256,-3.553469
DD_target90,Slin_C10,0.175924,-3.528754
DD_target90,Spoly2_C1_gscale,0.406276,-34.199908
DD_target90,Spoly2_C1_g001,0.168539,-2.84324
DD_target90,Spoly2_C10_gscale,0.401381,-32.968755
DD_target90,Spoly2_C10_g001,0.185286,-3.904092
DD_target90,Spoly3_C1_gscale,0.843772,-114.151426
DD_target90,Spoly3_C1_g001,0.176395,-3.229802
DD_target90,GBRT_d3_lr001,0.132804,-0.866729
DD_target90,GBRT_d3_lr005,0.151581,-1.606116
