DataFrame,Model,RMSE,R2
DD_target30,GBRT_d3_lr001,0.063011,-0.391659
DD_target60,GBRT_d3_lr001,0.093927,-0.618978
DD_target90,GBRT_d4_lr001,0.132735,-0.892147
HAL_target30,Spoly2_C1_g001,0.084637,-0.083335
HAL_target60,Spoly2_C1_g001,0.119156,-0.038337
HAL_target90,Srbf_C10_e05_g001,0.177056,-0.063216
NOC_target30,Srbf_C1_e05_g001,0.043458,-0.154379
NOC_target60,GBRT_d3_lr001,0.067979,-0.519159
NOC_target90,GBRT_d3_lr001,0.093113,-0.566346
PRU_target30,Srbf_C1_e05_g001,0.056643,-0.172415
PRU_target60,Srbf_C1_e05_g001,0.077542,-0.140944
PRU_target90,Spoly2_C1_g001,0.102335,-0.131772
TRV_target30,Slin_C01,0.039135,-0.062328
TRV_target60,GBRT_d3_lr001,0.055797,-0.12367
TRV_target90,Srbf_C1_e05_g001,0.071978,-0.037933
KO_target30,GBRT_d3_lr001,0.031064,-0.011183
KO_target60,Srbf_C1_e05_g001,0.043658,-0.096062
KO_target90,Srbf_C1_e05_g001,0.057255,-0.065767
CVX_target30,GBRT_d3_lr001,0.052758,-0.131716
CVX_target60,GBRT_d3_lr001,0.074806,-0.168499
CVX_target90,Srbf_C1_e05_g001,0.099966,-0.161932
BLK_target30,Slin_C10,0.048667,-0.020867
BLK_target60,Srbf_C1_e05_g001,0.070806,-0.081549
BLK_target90,Srbf_C1_e05_g001,0.098433,-0.176258
F_target30,GBRT_d3_lr001,0.064447,-0.029847
F_target60,GBRT_d3_lr001,0.093547,-0.087837
F_target90,GBRT_d3_lr001,0.127665,-0.156524
INTC_target30,GBRT_d3_lr001,0.067695,-0.05803
INTC_target60,GBRT_d3_lr001,0.095306,-0.146639
INTC_target90,GBRT_d3_lr001,0.13691,-0.297556
